predicate,argument,role_type,actual_fit,exp_fit
advise,banker,ARG0,"6.0
",0.8
advise,banker,ARG1,"5.0
",0.8
advise,biologist,ARG0,"4.2
",0.8
advise,biologist,ARG1,"5.0
",0.8
advise,business,ARG0,"5.3
",0.5
advise,business,ARG1,"5.8
",0.8
advise,client,ARG0,"3.7
",0.8
advise,client,ARG1,"6.6
",0.8
advise,customer,ARG0,"3.8
",0.8
advise,customer,ARG1,"6.0
",0.8
advise,designer-gardener,ARG0,"5.8
",0.5
advise,designer-gardener,ARG1,"3.8
",0.5
advise,doctor,ARG0,"6.8
",0.8
advise,doctor,ARG1,"4.0
",0.8
advise,expert,ARG0,"6.5
",0.8
advise,expert,ARG1,"3.8
",0.8
advise,hospital,ARG0,"6.0
",0.5
advise,hospital,ARG1,"4.0
",0.5
advise,investor,ARG0,"6.0
",0.8
advise,investor,ARG1,"6.3
",0.8
advise,official,ARG0,"6.2
",0.8
advise,official,ARG1,"5.9
",0.8
advise,planner,ARG0,"6.3
",0.8
advise,planner,ARG1,"3.9
",0.8
ask,charity,ARG0,"5.9
",0.8
ask,charity,ARG2,"5.2
",0.8
ask,congress,ARG0,"5.8
",0.5
ask,congress,ARG2,"6.0
",0.5
ask,court,ARG0,"6.0
",0.5
ask,court,ARG2,"5.8
",0.5
ask,department,ARG0,"4.0
",0.5
ask,department,ARG2,"5.2
",0.5
ask,doctor,ARG0,"6.5
",0.8
ask,doctor,ARG2,"6.7
",0.8
ask,firm,ARG0,"5.3
",0.5
ask,firm,ARG2,"5.1
",0.5
ask,official,ARG0,"6.1
",0.5
ask,official,ARG2,"6.6
",0.5
ask,police,ARG0,"6.5
",0.5
ask,police,ARG2,"6.2
",0.8
ask,prosecutor,ARG0,"6.6
",0.8
ask,prosecutor,ARG2,"6.3
",0.8
ask,state,ARG0,"3.8
",0.8
ask,state,ARG2,"3.8
",0.8
ask,union,ARG0,"6.0
",0.5
ask,union,ARG2,"5.3
",0.5
caution,bank,ARG0,"4.2
",0.8
caution,bank,ARG2,"2.3
",0.8
caution,developer,ARG0,"3.8
",0.8
caution,developer,ARG2,"5.0
",0.8
caution,friend,ARG0,"5.6
",0.8
caution,friend,ARG2,"5.0
",0.8
caution,judges,ARG0,"5.4
",0.8
caution,judges,ARG2,"3.7
",0.8
caution,lady,ARG0,"5.0
",0.5
